capacitor_id,component_name,component_id,production_id,operating_voltage,rated_capacity,unit_id
1,DEBE33F472ZA3B,5,3,3150,4700.00,1
2,JYC3D101KBY,5,4,2000,100.00,1
3,JYC3D102MBE,5,4,2000,1000.00,1
5,JYC3D152MBE,5,4,2000,1500.00,1
6,JYC3D222MBF,5,4,2000,2200.00,1
7,JYC3D332MBF,5,4,2000,3300.00,1
8,JYC3D471KBB,5,4,2000,470.00,1
9,JYC3D472MBF,5,4,2000,4700.00,1
10,JYC3D681KBB,5,4,2000,680.00,1
21,К10-17А,7,5,50,7.00,1
22,К10-17Б,7,6,50,12.00,1
23,КМ5Б,7,5,160,1000.00,1
4,JYC3D103MCF,5,4,2000,0.01,2
11,GRM2165C1H1R1C,6,3,50,1.10,1
12,GRM2165C1H1R2C,6,3,50,1.20,1
13,GRM2165C1H1R3C,6,3,50,1.30,1
14,GRM2165C1H1R5C,6,3,50,1.50,1
15,GRM2165C1H1R6C,6,3,50,1.60,1
16,GRM2165C1H1R8C,6,3,50,1.80,1
17,GRM2165C1H2R0C,6,3,50,2.00,1
18,GRM2165C1H2R2C,6,3,50,2.20,1
19,GRM2165C1H2R4C,6,3,50,2.40,1
20,GRM2165C1H2R7C,6,3,50,2.70,1
