element_id,element
1,AC-DC Преобразователи
2,DC-DC Преобразователи
3,RMS-DC преобразователи
4,V/F и F/V преобразователи
5,Аналоговые коммутаторы
6,IGBT модули
7,Диодно-тиристорные модули
8,Высокочастотные модули
9,Платы и микросборки
10,Модули управления двигателями
11,Конденсаторы керамические высоковольтные
12,Конденсаторы керамические дисковые
13,Конденсаторы керамические SMD
14,Конденсаторы керамические выводные многослойные
15,Конденсаторы металлобумажные
16,Резисторы маломощные
17,Резисторы мощные
18,Чип резисторы
19,Индуктивности выводные
20,Индуктивности SMD
21,Дроссели подавления ЭМП
22,Газовые разрядники
23,Варисторы
24,Предохранители керамические
25,Предохранители стеклянные
26,Стабилитроны
27,Диоды Шоттки
28,Диоды силовые
29,Транзисторы биполярные
30,Транзисторы полевые
31,Тиристоры
32,Симисторы
33,Кварцевые генераторы
34,Кварцевые резонаторы
