supply_id,component_id,amount,order_date,order_status_id,delivery_date
1,1,16,2022-03-10,5,2022-03-20
2,2,43,2022-03-13,5,2022-03-21
3,6,63,2022-03-13,5,2022-03-21
52,167,73,2022-06-16,1,
4,9,19,2022-03-13,5,2022-03-19
5,12,4,2022-03-20,5,2022-03-30
6,13,65,2022-04-24,5,2022-05-07
7,15,74,2022-05-16,5,2022-05-29
8,18,31,2022-05-19,5,2022-05-27
9,19,8,2022-06-10,3,
10,21,9,2022-06-13,2,
11,25,49,2022-06-08,4,
12,27,83,2022-06-06,4,
13,30,111,2022-04-07,4,2022-04-27
14,33,69,2022-04-01,4,2022-04-14
15,34,98,2022-06-09,4,
16,35,31,2022-06-09,5,2022-06-14
17,36,27,2022-03-11,5,2022-03-25
18,40,9,2022-04-26,5,2022-05-10
19,44,31,2022-04-26,5,2022-05-06
20,48,1,2022-04-26,5,2022-05-08
21,49,3,2022-06-16,1,
22,60,105,2022-06-12,2,
23,62,6,2022-06-06,5,2022-06-17
24,63,23,2022-04-06,5,2022-04-14
25,69,26,2022-03-12,5,2022-03-29
26,71,52,2022-03-12,5,2022-03-26
27,74,93,2022-04-14,5,2022-04-29
28,77,18,2022-05-16,5,2022-05-29
29,80,62,2022-05-16,5,2022-05-31
30,86,84,2022-05-30,5,2022-06-11
31,87,1,2022-06-09,4,
32,89,74,2022-06-07,4,
33,95,51,2022-06-14,2,
34,103,40,2022-03-21,5,2022-04-05
35,110,198,2022-03-28,5,2022-04-05
36,116,63,2022-04-30,5,2022-05-20
37,120,8,2022-06-14,2,
38,126,29,2022-03-14,5,2022-03-20
39,127,81,2022-06-04,4,2022-03-31
40,128,17,2022-06-13,2,
41,131,4,2022-06-03,5,2022-06-14
42,136,169,2022-06-01,5,2022-06-12
43,140,48,2022-05-21,5,2022-06-01
44,149,51,2022-05-26,5,2022-06-09
45,154,91,2022-06-08,3,
46,155,59,2022-04-08,5,2022-04-19
47,156,3,2022-06-14,1,
48,160,72,2022-05-05,5,2022-05-26
49,162,77,2022-04-01,5,2022-05-01
50,164,66,2022-06-06,4,
51,165,69,2022-06-01,5,2022-06-16
